Feature ID,기능명,평면,현재 위치,사용자,Domain,EOS Ownership,EOS 대상,상태,플래그,결합도,테스트,Migration Action,매트릭스 판정,출시 우선도(제안),우선도 근거,선행 제안(v2.0),Migration Risk,A과목,B DB,C결합,D테스트,E상태,F데이터,총점,LOC,엔드포인트,쓰기EP,Adapter 의존,Mixed 의존,DB모델수,테스트fn,§3.4 KEEP충족(/6),§3.4 REPLACE신호(/6),§3.4 기준판정,판정 근거,근거
WM-S-001,헬스체크·상태 조회,서빙 표면,"src/backend/whymath_backend/app.py :: GET /health, GET /health/live, GET /health/ready, GET /status",Platform,Operations,CORE,EOS Core,Production,,Low,Full,KEEP,KEEP,P1,선행 제안 승계(P1) — 폐쇄루프 미도달,P1,Low,0,0,1,0,0,0,1,0,4,0,,,0,386,6,1,KEEP,§3.4 KEEP 6/6 충족,OPS-01 관측성 — /health·/status
WM-S-002,LLM 생성 게이트웨이(동기·비동기 잡),서빙 표면,"src/backend/whymath_backend/app.py :: POST /v1/generate, GET /v1/jobs/{job_id}",Platform,AI Orchestration,CORE,EOS Core,Production,,Low,Full,KEEP,KEEP,P0,폐쇄루프: seed_route,P0,Low,1,0,1,0,1,0,3,0,2,1,,l3.pregenerate.validator;schema.enums,0,135,6,1,KEEP,§3.4 KEEP 6/6 충족,C1·A5 — /v1/generate 생성 표면
WM-S-003,소셜 로그인(OAuth 카카오·네이버),서빙 표면,"src/backend/whymath_backend/api/auth.py :: GET /v1/auth/{provider}/state, POST /v1/auth/{provider}/callback",Student,Identity,CORE,EOS Core,Production,,Low,Full,KEEP,KEEP,P0,폐쇄루프: seed_route,P0,Low,0,0,0,0,1,0,1,0,2,1,,,0,62,6,0,KEEP,§3.4 KEEP 6/6 충족,계획서 100 P0 'User/Auth' — 폐쇄루프 진입점
WM-S-004,토큰 회전·로그아웃,서빙 표면,"src/backend/whymath_backend/api/auth.py :: POST /v1/auth/refresh, POST /v1/auth/logout",Student,Identity,CORE,EOS Core,Production,,Low,Full,KEEP,REFACTOR,P0,폐쇄루프: seed_route,P0,Med,0,1,1,0,1,2,5,0,2,2,,,2,51,6,0,KEEP,§3.4 KEEP 6/6 충족,SEC 축 — 리프레시 회전·denylist
WM-S-005,활성 세션 목록·원격 로그아웃,서빙 표면,"src/backend/whymath_backend/api/auth.py :: GET /v1/auth/sessions, DELETE /v1/auth/sessions, DELETE /v1/auth/sessions/{session_id}",Student,Security,CORE,EOS Core,Production,,Low,Full,KEEP,KEEP,P1,선행 제안 승계(P1) — 폐쇄루프 미도달,P1,Low,0,1,0,0,1,1,3,0,3,2,,,1,30,6,0,KEEP,§3.4 KEEP 6/6 충족,SEC-10 낯선 기기 인지
WM-S-006,내 프로필 조회·수정(온보딩),서빙 표면,"src/backend/whymath_backend/api/users.py :: GET /v1/users/me, PATCH /v1/users/me",Student,Identity,CORE,EOS Core,Production,,Low,Full,KEEP,KEEP,P0,"폐쇄루프: seed_route, invariant",P0,Low,0,1,1,0,1,1,4,0,2,1,,,1,55,6,0,KEEP,§3.4 KEEP 6/6 충족,폐쇄루프 진입 — 학년·학교유형 입력(EOS-82)
WM-S-007,법정대리인 동의 기록·철회·조회,서빙 표면,"src/backend/whymath_backend/api/users.py :: POST /v1/users/me/parental-consent, DELETE /v1/users/me/parental-consent, GET /v1/users/me/parental-consent",Parent,Security,CORE,EOS Core,Flag-off,parental_consent_grant_enabled=False,Med,Full,REFACTOR,REFACTOR,P0,폐쇄루프: invariant,P0,Med,1,1,2,0,1,2,7,0,3,2,,schema.enums,2,30,4,0,REFACTOR,"§3.4 KEEP 4/6 — 미충족 k5_coupling_low, k6_verified",PIPA §22-2 — 법령 유래 절차(기계 대체 금지)
WM-S-008,디바이스 등록·폐기·목록,서빙 표면,"src/backend/whymath_backend/api/devices.py :: POST /v1/devices/register, POST /v1/devices/{device_id}/revoke, GET /v1/devices",Student,Security,CORE,EOS Core,Production,,Low,Full,KEEP,KEEP,P1,선행 제안 승계(P1) — 폐쇄루프 미도달,P1,Low,0,0,1,0,1,0,2,0,3,2,,,0,206,6,0,KEEP,§3.4 KEEP 6/6 충족,디바이스 서명 인증 — SEC 축
WM-S-009,개인정보 처리 권한 판정(PEP),서빙 표면,src/backend/whymath_backend/api/privacy.py :: POST /v1/privacy/authorize,Platform,Security,CORE,EOS Core,Production,,Low,None,REFACTOR,REFACTOR,P0,폐쇄루프: invariant,P0,Med,0,1,1,3,1,1,7,0,1,1,,,1,0,4,1,REFACTOR,"§3.4 KEEP 4/6 — 미충족 k3_tests_exist, k6_verified",미성년 PII PEP — 불변 계약(선언 §0-6)
WM-S-010,내 학습 세션 이력·종료·삭제,서빙 표면,"src/backend/whymath_backend/api/me.py :: GET /v1/me/sessions, PATCH /v1/me/sessions/{session_id}/end, DELETE /v1/me/sessions/{session_id}",Student,Event,CORE,EOS Core,Production,,Low,Full,KEEP,REFACTOR,P1,선행 제안 승계(P1) — 폐쇄루프 미도달,P1,Med,1,1,1,0,1,1,5,0,3,2,,schema.enums,1,282,6,0,KEEP,§3.4 KEEP 6/6 충족,E3 학습 이력 — GDPR 삭제 포함
